sum.taxonomy	c19_fishcard_12SPCR.30C.Coastal.Even.1.S28.L001	c19_fishcard_12SPCR.30C.Coastal.Even.2.S36.L001	c19_fishcard_12SPCR.30C.Coastal.Even.3.S44.L001	c19_fishcard_12SPCR.30C.Coastal.Skew1.1.S29.L001	c19_fishcard_12SPCR.30C.Coastal.Skew1.2.S37.L001	c19_fishcard_12SPCR.30C.Coastal.Skew1.3.S45.L001	c19_fishcard_12SPCR.30C.Coastal.Skew2.1.S30.L001	c19_fishcard_12SPCR.30C.Coastal.Skew2.2.S38.L001	c19_fishcard_12SPCR.30C.Coastal.Skew2.3.S46.L001	c19_fishcard_12SPCR.30C.North.Even.1.S34.L001	c19_fishcard_12SPCR.30C.North.Even.2.S42.L001	c19_fishcard_12SPCR.30C.North.Even.3.S50.L001	c19_fishcard_12SPCR.30C.North.Skew1.1.S35.L001	c19_fishcard_12SPCR.30C.North.Skew1.2.S43.L001	c19_fishcard_12SPCR.30C.North.Skew1.3.S51.L001	c19_fishcard_12SPCR.30C.North.Skew2.1.S52.L001	c19_fishcard_12SPCR.30C.North.Skew2.2.S53.L001	c19_fishcard_12SPCR.30C.North.Skew2.3.S54.L001	c19_fishcard_12SPCR.30C.Oceanic.Even.1.S31.L001	c19_fishcard_12SPCR.30C.Oceanic.Even.2.S39.L001	c19_fishcard_12SPCR.30C.Oceanic.Even.3.S47.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew1.1.S32.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew1.2.S40.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew1.3.S48.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew2.1.S33.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew2.2.S41.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew2.3.S49.L001	c19_fishcard_12SPCR.33C.Coastal.Even.1.S55.L001	c19_fishcard_12SPCR.33C.Coastal.Even.2.S63.L001	c19_fishcard_12SPCR.33C.Coastal.Even.3.S71.L001	c19_fishcard_12SPCR.33C.Coastal.Skew1.1.S56.L001	c19_fishcard_12SPCR.33C.Coastal.Skew1.2.S64.L001	c19_fishcard_12SPCR.33C.Coastal.Skew1.3.S72.L001	c19_fishcard_12SPCR.33C.Coastal.Skew2.1.S57.L001	c19_fishcard_12SPCR.33C.Coastal.Skew2.2.S65.L001	c19_fishcard_12SPCR.33C.Coastal.Skew2.3.S73.L001	c19_fishcard_12SPCR.33C.North.Even.1.S61.L001	c19_fishcard_12SPCR.33C.North.Even.2.S69.L001	c19_fishcard_12SPCR.33C.North.Even.3.S77.L001	c19_fishcard_12SPCR.33C.North.Skew1.1.S62.L001	c19_fishcard_12SPCR.33C.North.Skew1.2.S70.L001	c19_fishcard_12SPCR.33C.North.Skew1.3.S78.L001	c19_fishcard_12SPCR.33C.North.Skew2.1.S79.L001	c19_fishcard_12SPCR.33C.North.Skew2.2.S80.L001	c19_fishcard_12SPCR.33C.North.Skew2.3.S81.L001	c19_fishcard_12SPCR.33C.Oceanic.Even.1.S58.L001	c19_fishcard_12SPCR.33C.Oceanic.Even.2.S66.L001	c19_fishcard_12SPCR.33C.Oceanic.Even.3.S74.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew1.1.S59.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew1.2.S67.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew1.3.S75.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew2.1.S60.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew2.2.S68.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew2.3.S76.L001	c19_fishcard_12SPCR.36C.Coastal.Even.1.S82.L001	c19_fishcard_12SPCR.36C.Coastal.Even.2.S90.L001	c19_fishcard_12SPCR.36C.Coastal.Even.3.S98.L001	c19_fishcard_12SPCR.36C.Coastal.Skew1.1.S83.L001	c19_fishcard_12SPCR.36C.Coastal.Skew1.2.S91.L001	c19_fishcard_12SPCR.36C.Coastal.Skew1.3.S99.L001	c19_fishcard_12SPCR.36C.Coastal.Skew2.1.S84.L001	c19_fishcard_12SPCR.36C.Coastal.Skew2.2.S92.L001	c19_fishcard_12SPCR.36C.Coastal.Skew2.3.S100.L001	c19_fishcard_12SPCR.36C.North.Even.1.S88.L001	c19_fishcard_12SPCR.36C.North.Even.2.S96.L001	c19_fishcard_12SPCR.36C.North.Even.3.S104.L001	c19_fishcard_12SPCR.36C.North.Skew1.1.S89.L001	c19_fishcard_12SPCR.36C.North.Skew1.2.S97.L001	c19_fishcard_12SPCR.36C.North.Skew1.3.S105.L001	c19_fishcard_12SPCR.36C.North.Skew2.1.S134.L001	c19_fishcard_12SPCR.36C.North.Skew2.2.S106.L001	c19_fishcard_12SPCR.36C.North.Skew2.3.S107.L001	c19_fishcard_12SPCR.36C.Oceanic.Even.1.S85.L001	c19_fishcard_12SPCR.36C.Oceanic.Even.2.S93.L001	c19_fishcard_12SPCR.36C.Oceanic.Even.3.S101.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew1.1.S86.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew1.2.S94.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew1.3.S102.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew2.1.S87.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew2.2.S95.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew2.3.S103.L001	c19_fishcard_12SPCR.39C.Blackfin.Tuna.S133.L001	c19_fishcard_12SPCR.39C.Coastal.Even.1.S108.L001	c19_fishcard_12SPCR.39C.Coastal.Even.2.S115.L001	c19_fishcard_12SPCR.39C.Coastal.Even.3.S121.L001	c19_fishcard_12SPCR.39C.Coastal.Skew1.1.S109.L001	c19_fishcard_12SPCR.39C.Coastal.Skew1.2.S116.L001	c19_fishcard_12SPCR.39C.Coastal.Skew1.3.S122.L001	c19_fishcard_12SPCR.39C.Coastal.Skew2.1.S135.L001	c19_fishcard_12SPCR.39C.Coastal.Skew2.2.S117.L001	c19_fishcard_12SPCR.39C.Coastal.Skew2.3.S123.L001	c19_fishcard_12SPCR.39C.North.Even.1.S113.L001	c19_fishcard_12SPCR.39C.North.Even.2.S119.L001	c19_fishcard_12SPCR.39C.North.Even.3.S127.L001	c19_fishcard_12SPCR.39C.North.Skew1.1.S114.L001	c19_fishcard_12SPCR.39C.North.Skew1.2.S120.L001	c19_fishcard_12SPCR.39C.North.Skew1.3.S128.L001	c19_fishcard_12SPCR.39C.North.Skew2.1.S129.L001	c19_fishcard_12SPCR.39C.North.Skew2.2.S130.L001	c19_fishcard_12SPCR.39C.North.Skew2.3.S131.L001	c19_fishcard_12SPCR.39C.Oceanic.Even.1.S110.L001	c19_fishcard_12SPCR.39C.Oceanic.Even.2.S136.L001	c19_fishcard_12SPCR.39C.Oceanic.Even.3.S124.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew1.1.S111.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew1.2.S118.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew1.3.S125.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew2.1.S112.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew2.2.S137.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew2.3.S126.L001	c19_fishcard_12SPCR.39C.Tilapia.S132.L001	c19_fishcard_16SPCR.Coastal.Even.1.S1.L001	c19_fishcard_16SPCR.Coastal.Even.2.S9.L001	c19_fishcard_16SPCR.Coastal.Even.3.S17.L001	c19_fishcard_16SPCR.Coastal.Skew1.1.S2.L001	c19_fishcard_16SPCR.Coastal.Skew1.2.S10.L001	c19_fishcard_16SPCR.Coastal.Skew1.3.S18.L001	c19_fishcard_16SPCR.North.Even.1.S7.L001	c19_fishcard_16SPCR.North.Even.2.S15.L001	c19_fishcard_16SPCR.North.Even.3.S23.L001	c19_fishcard_16SPCR.Coastal.Skew2.1.S3.L001	c19_fishcard_16SPCR.Coastal.Skew2.3.S19.L001
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Bathylagoides;Bathylagoides wesethi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20989	11619	28684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12981	22153	29157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37517	31782	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4140	4864	2871	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23424	16872	30830	4882	2211	17854	12635	23829	6061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16549	27526	41322	25247	5511	31848	4646	13275	20032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33555	20100	705	36157	19493	3273	29655	15728	5394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4529	4321	3858	5317	5003	2641	3694	5119	4046	0	0	0	1	0	0	0	1	1	2	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;Leuroglossus schmidti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Lipolagus;Lipolagus ochotensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3479	2134	4265	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2532	3027	4596	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8951	3717	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	349	612	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Alloclinus;Alloclinus holderi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	172	759	6	119	478	4	10	1171	4	2	152	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	606	1700	1271	111	213	584	1059	7	1671	0	2	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	11	365	1506	8	0	1240	380	7	300	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	8	12	2	0	2	10	8	6	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9853	20437	17677	5051	3384	4858	5499	3680	21921	2819	1141	2442	0	0	6549	0	0	0	0	0	0	0	0	0	0	0	0	66575	33007	32504	2592	4001	5510	12812	5564	16837	575	1706	4114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12961	10878	10625	10375	4803	179	33848	18229	2932	4206	1904	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9087	3995	8297	899	537	1067	4154	4879	2039	285	651	753	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;	0	2032	362	1214	1813	5350	3962	8660	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1299	3116	11609	2132	11776	5707	3661	4089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3148	2580	1919	6440	424	904	11392	1873	1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	733	2773	968	1224	1916	1903	858	1744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
